Designator,Qty,Value/Part,Footprint,Description,Notes
J1,1,64Pin Edge 2.54mm CS,Custom,SLOT A Common Slot connector,WingTat S-64M-2.54-5 or equiv
J2,1,64Pin Edge 2.54mm CS,Custom,SLOT B Common Slot connector,same as J1
J3,1,2.54-4P header,PinHeader_1x04,PMBus debug: 3V3 SCL SDA GND,
JOUT,4,M8 Power Stud,M8,2x VBUS_12V + 2x PGND,or copper busbar
R1,1,22k,0805,PRE_A pull-up to SB_A,
R2,1,22k,0805,PRE_B pull-up to SB_B,
R3,1,4.7k,0805,SCL pull-up,
R4,1,4.7k,0805,SDA pull-up,
R10,1,1k-4.7k,0805,PSOK_A LED resistor,tune after measurement
R11,1,1k-4.7k,0805,PSOK_B LED resistor,
R12,1,1k-4.7k,0805,ALARM_A LED resistor,
R13,1,1k-4.7k,0805,ALARM_B LED resistor,
R_ADR*,5,0R/DNP,0805,ADR straps for slot A/B,populate to set unique address
SW1,1,SPST switch,TH/SMD,EN_A# to SGND,
SW2,1,SPST switch,TH/SMD,EN_B# to SGND,
D1,1,SS34,SMC/SMA,SB_A to SBS_BUS OR-ing,
D2,1,SS34,SMC/SMA,SB_B to SBS_BUS OR-ing,
U1,1,3.3V LDO,SOT-223,SBS_BUS to 3V3,optional if no MCU
C1-C8,8,10uF/25V,0805,decouple near J1,
C9-C16,8,10uF/25V,0805,decouple near J2,
Cbulk1,2,1000uF/16V,Radial/Polymer,VBUS bulk,
Cin/Cout,4,10uF+100nF,0805,LDO input/output,
LED1-4,4,0805 LED,0805,OK/ALARM indicators,
TVS1,1,SMAJ15A,SMA,optional on VBUS,
TP*,12,Test point,1mm pad,key nets,
Mech,1,Dual CS cage,,mechanical cage/rails,user-supplied
PSU,2,DPS-1200FB A,,Common Slot PSU modules,verify revision
